"risk.k"	"alpha.at.conception.k"	"sire.k"	"infant.ID.k"	"infant.name.k"	"infant.DOB.k"	"infant.DOC.k"	"infant.mother.k"	"infant.sex.k"	"infant.birthgroup.k"	"infant.DOD.k"	"infant.CauseOfDeath.k"	"infant.alive.k"	"infant.AgeAtDeath.k"	"takeover.date.k"	"infant.ageattakeover.k"	"infant.over1yr.k"
"1"	"GS"	"leery"	""	178	"Regis"	1991-04-01	1990-10-23	"Splodge F"	"M"	"LV"	1999-06-11	"Unknown"	0	2993	"93-01-31"	"671"	"Y"
"2"	"GS"	"leery"	""	68	"DosLeches"	1991-05-29	1990-12-20	"Gringa F"	"F"	"LV"	2011-07-26	"Missing"	0	7363	"93-01-31"	"613"	"Y"
"3"	"GS"	"leery"	""	61	"CuriousGeorge"	1991-12-01	1991-06-24	"Blanquita F"	"M"	"LV"	1998-10-19	"Unknown"	0	2514	"93-01-31"	"427"	"Y"
"4"	"AMR"	"leery"	""	40	"Casey"	1992-05-01	1991-11-23	"Bonnie F"	"M"	"LV"	1999-06-11	"Unknown"	0	2597	"93-01-31"	"275"	"N"
"5"	"AMR"	"leery"	""	79	"Finnigan"	1992-07-01	1992-01-23	"Mystery F"	"M"	"LV"	1998-03-19	"Unknown"	0	2087	"93-01-31"	"214"	"N"
"6"	"AMR"	"leery"	""	91	"Gringa93"	1993-04-01	1992-10-23	"Gringa F"	"M"	"LV"	1993-06-01	"Infanticide"	0	61	"93-01-31"	"-60"	"N"
"7"	"GS"	"butch"	""	202	"Snow"	1994-03-09	1993-09-30	"Splodge F"	"M"	"LV"	1995-09-15	"Unknown"	0	555	"93-02-01"	"-401"	"N"
"8"	"GS"	"butch"	""	81	"Frost"	1994-04-07	1993-10-29	"Gringa F"	"M"	"LV"	1995-09-15	"Unknown"	0	526	"93-02-01"	"-430"	"N"
"9"	"GS"	"butch"	""	120	"Lizano"	1994-05-01	1993-11-22	"Blanquita F"	"M"	"LV"	2000-01-15	"Unknown"	0	2085	"93-02-01"	"-454"	"Y"
"10"	"GS"	"butch"	""	99	"Heinz"	1995-01-01	1994-07-25	"Bonnie F"	"M"	"LV"	1998-09-29	"Unknown"	0	1367	"97-04-05"	"825"	"Y"
"11"	"GS"	"butch"	""	8	"Alien"	1996-01-02	1995-07-26	"KathyLee F"	"M"	"LV"	2004-02-20	"Unknown"	0	2971	"97-04-05"	"459"	"Y"
"12"	"GS"	"butch"	""	185	"Salt"	1996-02-05	1995-08-29	"Carmen F"	"M"	"LV"	1998-12-15	"Unknown"	0	1044	"97-04-05"	"425"	"Y"
"13"	"GS"	"butch"	""	184	"Salsa"	1996-03-01	1995-09-23	"Blanquita F"	"F"	"LV"	NA	""	-1	NA	"97-04-05"	"400"	"Y"
"14"	"AMR"	"butch"	""	50	"Chilero"	1996-09-01	1996-03-25	"Bonnie F"	"M"	"LV"	1998-12-01	"Unknown"	0	821	"97-04-05"	"216"	"N"
"15"	"AMR"	"nose"	""	156	"Pepper"	1998-04-01	1997-10-23	"Fiesty F"	"M"	"LV"	1998-04-01	"Infanticide"	0	1	"98-01-01"	"-90"	"N"
"16"	"AMR"	"nose"	""	126	"Mayo"	1998-05-02	1997-11-23	"KathyLee F"	"F"	"LV"	2004-07-15	"Unknown"	0	2266	"98-01-01"	"-121"	"Y"
"17"	"GS"	"diablo"	""	183	"Romero"	1998-07-25	1998-02-15	"Blanquita F"	"M"	"LV"	1999-01-26	"Unknown"	0	185	"00-04-30"	"645"	"N"
"18"	"ARM"	"diablo"	""	203	"Soya"	1999-05-08	1998-11-29	"DosLeches F"	"M"	"LV"	2000-08-01	"Unknown"	0	451	"00-04-30"	"358"	"N"
"19"	"ARM"	"diablo"	""	57	"Chutney"	1999-08-02	1999-02-23	"Blanquita F"	"F"	"LV"	NA	""	-1	NA	"00-04-30"	"272"	"N"
"20"	"ARM"	"diablo"	""	67	"Dijon"	1999-12-01	1999-06-24	"Fiesty F"	"M"	"LV"	2000-04-01	"Infanticide"	0	122	"00-04-30"	"151"	"N"
"21"	"ARM"	"diablo"	""	238	"Y2K"	2000-01-01	1999-07-25	"KathyLee F"	"M"	"LV"	2000-04-01	"Infanticide"	0	91	"00-04-30"	"120"	"N"
"22"	"AMR"	"side"	"Picante (incoming alpah)"	132	"Mostaza"	2000-12-31	2000-07-24	"KathyLee F"	"M"	"LV"	2010-05-28	"Unknown"	0	3435	"00-05-01"	"-244"	"N"
"23"	"ARM"	"side"	"Side"	174	"Queso"	2001-03-01	2000-09-22	"DosLeches F"	"U"	"LV"	2001-05-27	"Unknown"	0	87	"00-12-31"	"-60"	"N"
"24"	"AMR"	"side"	""	38	"Caramelo"	2001-04-01	2000-10-23	"Blanquita F"	"F"	"LV"	2005-12-11	"Predation"	0	1715	"00-12-31"	"-91"	"Y"
"25"	"GS"	"side"	""	215	"Tahini"	2001-04-01	2000-10-23	"Fiesty F"	"M"	"LV"	2004-05-30	"Unknown"	0	1155	"00-12-31"	"-91"	"Y"
"26"	"GS"	"picante"	""	158	"Pesto"	2002-03-13	2001-10-04	"DosLeches F"	"M"	"LV"	2002-09-23	"Unknown"	0	194	"00-12-31"	"-437"	"N"
"27"	"GS"	"picante"	""	143	"Nutello"	2002-05-14	2001-12-05	"Salsa F"	"M"	"LV"	2013-03-24	"Missing"	0	3967	"04-02-01"	"628"	"Y"
"28"	"GS"	"picante"	""	179	"Relish"	2003-03-03	2002-09-24	"KathyLee F"	"M"	"LV"	2003-07-08	"Unknown"	0	127	"04-02-01"	"0"	"N"
"29"	"AMR"	"picante"	""	162	"Pickles"	2003-04-15	2002-11-06	"Blanquita F"	"F"	"LV"	2013-03-30	"Missing"	0	3637	"04-02-01"	"292"	"N"
"30"	"AMR"	"picante"	""	105	"Jelly"	2003-05-12	2002-12-03	"DosLeches F"	"F"	"LV"	2004-07-02	"Unknown"	0	417	"04-02-01"	"265"	"N"
"31"	"AMR"	"picante"	""	234	"Wasabi"	2004-03-08	2003-09-30	"KathyLee F"	"F"	"LV"	2004-03-23	"Infanticide"	0	15	"04-02-01"	"-36"	"Y"
"32"	"AMR"	"picante"	""	94	"Guacamole"	2004-07-04	2004-01-26	"Mayo F"	"U"	"LV"	2004-07-15	"Unknown"	0	11	"04-02-01"	"-154"	"N"
"33"	"GS"	"baba"	""	43	"Charchere"	2004-11-01	2004-05-25	"DosLeches F"	"F"	"LV"	NA	""	-1	NA	"06-05-01"	"546"	"Y"
"34"	"GS"	"baba"	""	231	"Velveeta"	2004-11-01	2004-05-25	"Salsa F"	"F"	"LV"	2011-01-21	"Accident"	0	2272	"06-05-01"	"546"	"Y"
"35"	"GS"	"baba"	""	220	"Toyo"	2004-12-01	2004-06-24	"KathyLee F"	"M"	"LV"	NA	""	-1	NA	"06-05-01"	"516"	"Y"
"36"	"GS"	"baba"	""	145	"Oregano"	2005-04-11	2004-11-02	"Blanquita F"	"F"	"LV"	NA	""	-1	NA	"06-05-01"	"385"	"Y"
"37"	"GS"	"baba"	""	252	"Chutney05"	2005-05-18	2004-12-09	"Chutney F"	"U"	"LV"	2005-05-20	"Unknown"	0	2	"06-05-01"	"0"	"N"
"38"	"ARM"	"baba"	""	248	"Chutney06"	2006-07-03	2006-01-24	"Chutney F"	"U"	"LV"	2006-07-06	"Unknown"	0	3	"06-05-01"	"-63"	"N"
"39"	"ARM"	"baba"	""	250	"Saffron"	2006-07-17	2006-02-07	"DosLeches F"	"F"	"LV"	2006-11-02	"Unknown"	0	108	"06-05-01"	"-77"	"N"
"40"	"ARM"	"baba"	""	249	"Rosemary"	2006-07-29	2006-02-19	"KathyLee F"	"F"	"LV"	2006-11-02	"Unknown"	0	96	"06-05-01"	"-89"	"N"
"41"	"AMR"	"chili"	""	255	"Nutmeg"	2006-10-23	2006-05-16	"Salsa F"	"M"	"LV"	NA	""	-1	NA	"06-11-01"	"9"	"N"
"42"	"AMR"	"chili"	""	319	"Chutney07"	2007-03-04	2006-09-25	"Chutney F"	"F"	"LV"	2007-03-11	"Unknown"	0	7	"06-11-01"	"-123"	"N"
"43"	"AMR"	"chili"	""	293	"Mousse"	2007-03-08	2006-09-29	"Blanquita F"	"M"	"LV"	NA	""	-1	NA	"06-11-01"	"-127"	"Y"
"44"	"GS"	"cayenne"	""	321	"Sassafras"	2007-05-17	2006-12-08	"KathyLee F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"1759"	"Y"
"45"	"GS"	"cayenne"	""	322	"Crema"	2007-05-18	2006-12-09	"DosLeches F"	"F"	"LV"	2010-02-25	"Unknown"	0	1014	"12-03-10"	"0"	"N"
"46"	"GS"	"cayenne"	""	388	"Chai"	2008-02-05	2007-08-29	"Chutney F"	"M"	"LV"	NA	""	-1	NA	"12-03-10"	"1495"	"Y"
"47"	"GS"	"cayenne"	""	392	"Thyme"	2008-05-30	2007-12-22	"Salsa F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"1380"	"Y"
"48"	"GS"	"cayenne"	""	406	"Canela"	2009-02-19	2008-09-12	"KathyLee F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"1115"	"Y"
"49"	"GS"	"cayenne"	""	414	"Cassia"	2009-06-21	2009-01-12	"DosLeches F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"993"	"Y"
"50"	"GS"	"cayenne"	""	418	"Poppy"	2009-07-02	2009-01-23	"Pickles F"	"M"	"LV"	NA	""	-1	NA	"12-03-10"	"982"	"Y"
"51"	"GS"	"cayenne"	""	423	"Ketchup"	2009-11-24	2009-06-17	"Salsa F"	"M"	"LV"	2013-01-05	"Missing"	0	1138	"12-03-10"	"837"	"Y"
"52"	"GS"	"cayenne"	""	436	"Vanilla"	2010-05-04	2009-11-25	"Chutney F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"676"	"Y"
"53"	"GS"	"cayenne"	""	441	"Sage"	2010-07-28	2010-02-18	"KathyLee F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"591"	"Y"
"54"	"GS"	"cayenne"	""	519	"Pistachio"	2011-05-07	2010-11-28	"Oregano F"	"M"	"LV"	2011-11-24	"Missing"	0	201	"12-03-10"	"dead"	"N"
"55"	"AMR"	"cayenne"	""	528	"Hummus"	2011-07-16	2011-02-06	"Salsa F"	"F"	"LV"	NA	""	-1	NA	"12-03-10"	"238"	"N"
"56"	"AMR"	"cayenne"	""	529	"Maple"	2011-07-25	2011-02-15	"Pickles F"	"F"	"LV"	2011-10-31	"Missing"	0	98	"12-03-10"	"dead"	"N"
"57"	"AMR"	"cayenne"	""	530	"Pistou"	2011-07-30	2011-02-20	"Charchere F"	"M"	"LV"	NA	""	-1	NA	"12-03-10"	"224"	"N"
"58"	"GS"	"tres leches"	""	697	"Crystal"	2012-10-18	2012-05-11	"Chutney F"	"F"	"LV"	NA	""	-1	NA	""	""	""
"59"	"GS"	"tres leches"	""	698	"SS-12"	2012-12-08	2012-07-01	"Salsa F"	"M"	"LV"	2013-01-05	"Unknown"	0	28	""	""	""
"60"	"GS"	"tres leches"	""	704	"Espresso"	2013-03-15	2012-10-06	"Oregano F"	"M"	"LV"	NA	""	-1	NA	""	""	""
"61"	"GS"	"tres leches"	""	710	"Boldo"	2013-05-01	2012-11-22	"Charchere F"	"M"	"LV"	NA	""	-1	NA	""	""	""
"62"	"GS"	"BG"	"BG"	324	"Fawkes"	2007-04-24	2006-11-15	"Fleur F"	"F"	"GUAN"	2008-07-09	"Unknown"	0	442	"10-04-15"	"1087"	"Y"
"63"	"GS"	"BG"	"BG"	325	"Quidditch"	2007-05-01	2006-11-22	"Maxine F"	"F"	"GUAN"	NA	""	-1	NA	"10-04-15"	"1080"	"Y"
"64"	"GS"	"BG"	"BG"	326	"Doby"	2007-05-01	2006-11-22	"Rosamerta F"	"M"	"GUAN"	2008-02-05	"Unknown"	0	280	"10-04-15"	"1080"	"Y"
"65"	"GS"	"BG"	"? "	327	"Snitch"	2007-05-14	2006-12-05	"LunaLovejoy F"	"M"	"GUAN"	NA	""	-1	NA	"10-04-15"	"1067"	"Y"
